IDREGION,CENTROID_X,CENTROID_Y,DIST_COAST
NL31,3990519.94208023,3231703.24764041,26579
NL21,4079250.80550793,3265348.41851248,56642
NL42,4036960.22514746,3129777.47736112,106556
NL22,4042621.94251938,3224622.41230823,61204
NL23,4016950.81723714,3280583.38405752,1619
NL32,3977038.70238313,3288766.19153667,7344
NL33,3942047.33110833,3217350.7347144,23265
NL34,3893577.62690534,3168248.78329521,6624
NL11,4103490.02443614,3350355.75780508,18518
NL12,4039136.75112956,3339005.03201406,26274
NL13,4093334.20674256,3311239.41701033,54826
NL41,3987369.02924294,3172234.07963886,41853
